,Name,IsStarosta,Phone,Gender,YearBirth,Age
ИИ.,Иванов И.И.,False,+79160000001,M,2000,24
ПП.,Петров П.П.,False,+79160000002,M,2001,23
СС.,Сидоров С.С.,False,+79160000003,M,1999,25
КК.,Козлов К.К.,True,+79160000004,M,2000,24
СС.,Смирнова С.С.,False,+79160000005,F,2001,23
ММ.,Михайлова М.М.,False,+79160000006,F,2000,24
ФФ.,Фёдорова Ф.Ф.,False,+79160000007,F,1999,25
АА.,Алексеева А.А.,False,+79160000008,F,2001,23
ВВ.,Воробьёв В.В.,False,+79160000009,M,2002,22
ГГ.,Григорьев Г.Г.,False,+79160000010,M,2000,24
